Country,Year,Month,CumulativeTotalCases,MonthlyNewCases,ActiveCases,CumulativeTotalDeaths,MonthlyNewDeaths
Afghanistan,2020,2,6,0,6,0,0
Afghanistan,2020,3,1222,173,1166,29,4
Afghanistan,2020,4,27247,1997,23460,860,60
Afghanistan,2020,5,225655,13034,196532,4994,193
Afghanistan,2020,6,750884,16312,551209,14907,489
Afghanistan,2020,7,1077445,5158,355936,33392,526
Afghanistan,2020,8,1163050,1490,277404,42038,130
Afghanistan,2020,9,1163851,1103,171808,42939,56
Afghanistan,2020,10,1245921,2157,160416,46225,78
Afghanistan,2020,11,1308873,5073,201166,49011,238
Afghanistan,2020,12,1545612,6015,270799,62494,427
Afghanistan,2021,1,1673788,2546,196143,72097,203
Afghanistan,2021,2,1553778,674,127587,67904,40
Afghanistan,2021,3,1737781,784,119585,76278,45
Afghanistan,2021,4,1736736,3425,93858,76449,142
Afghanistan,2021,5,2004894,13039,208211,85729,343
Afghanistan,2021,6,2897816,47235,893834,116298,1988
Afghanistan,2021,7,4268709,27285,1427231,186237,1775
Afghanistan,2021,8,4701776,5759,1195237,217208,386
Afghanistan,2021,9,4630289,1931,847683,215244,83
Afghanistan,2021,10,4827506,1059,670025,224448,74
Afghanistan,2021,11,4701317,1053,466849,218884,28
Afghanistan,2021,12,4889366,795,218900,227323,48
Afghanistan,2022,1,4939007,4828,182959,228857,58
Afghanistan,2022,2,4760801,10832,341279,210129,189
Afghanistan,2022,3,5466116,4006,296472,236994,67
Afghanistan,2022,4,5350484,1115,277144,230307,13
Afghanistan,2022,5,2506233,364,130767,107590,7
Albania,2020,2,0,0,0,0,0
Albania,2020,3,2241,241,1907,91,14
Albania,2020,4,15632,530,7002,728,16
Albania,2020,5,28873,364,6138,975,2
Albania,2020,6,50880,1398,16917,1221,29
Albania,2020,7,119660,2741,48672,3302,95
Albania,2020,8,230278,4237,103039,6945,127
Albania,2020,9,350148,4136,139256,10286,103
Albania,2020,10,523084,7226,203983,13731,122
Albania,2020,11,866248,17307,422828,19239,301
Albania,2020,12,1540509,20134,689020,31857,371
Albania,2021,1,2088570,19811,798211,39485,199
Albania,2021,2,2610775,29040,944078,44037,416
Albania,2021,3,3652195,17990,1062528,63810,439
Albania,2021,4,3865660,5928,785734,69887,159
Albania,2021,5,4089156,1230,218792,75267,57
Albania,2021,6,3973547,206,5033,73605,5
Albania,2021,7,4113962,560,5167,76140,1
Albania,2021,8,4262873,13306,120791,76586,41
Albania,2021,9,4784904,23744,359928,77186,200
Albania,2021,10,5511798,15169,227176,87206,226
Albania,2021,11,5802461,14645,238946,90266,172
Albania,2021,12,6352608,10279,175820,97829,121
Albania,2022,1,7240008,48349,542701,101498,129
Albania,2022,2,7496153,12990,244802,95672,123
Albania,2022,3,8456398,2114,28153,108050,23
Albania,2022,4,8233111,1430,12034,104832,4
Albania,2022,5,3854750,467,3925,48949,1
Algeria,2020,2,5,0,5,0,0
Algeria,2020,3,4868,715,3891,326,44
Algeria,2020,4,69497,3290,36228,9197,406
Algeria,2020,5,211394,5388,84895,16901,203
Algeria,2020,6,337819,4513,80820,23600,259
Algeria,2020,7,674286,16487,174094,32720,298
Algeria,2020,8,1185130,14100,315711,42428,300
Algeria,2020,9,1458290,7036,382355,48964,226
Algeria,2020,10,1683531,6412,449282,57192,228
Algeria,2020,11,2074384,25257,635281,65251,467
Algeria,2020,12,2884170,16411,900314,81232,325
Algeria,2021,1,3212268,7729,943014,87734,135
Algeria,2021,2,3096937,5753,887531,82305,92
Algeria,2021,3,3577898,4100,1001723,94314,110
Algeria,2021,4,3581338,4916,991023,94693,160
Algeria,2021,5,3890403,6805,1075851,104551,219
Algeria,2021,6,4030796,10713,1117642,107894,244
Algeria,2021,7,4734511,31766,1355135,121911,538
Algeria,2021,8,5788899,24688,1735530,149055,1015
Algeria,2021,9,6016238,7279,1736126,168391,543
Algeria,2021,10,6358229,3093,1816726,181913,108
Algeria,2021,11,6249508,4079,1782139,179783,151
Algeria,2021,12,6636393,7901,1883111,191320,205
Algeria,2022,1,7141014,33685,2089953,199006,303
Algeria,2022,2,7317457,12819,2244714,188533,256
Algeria,2022,3,8228823,735,2496097,212805,39
Algeria,2022,4,7972081,109,2415943,206227,1
Algeria,2022,5,3721145,36,1127806,96250,0
Andorra,2020,2,0,0,0,0,0
Andorra,2020,3,2838,375,2766,39,12
Andorra,2020,4,19106,369,12553,917,30
Andorra,2020,5,23498,19,3475,1518,9
Andorra,2020,6,25511,91,727,1545,1
Andorra,2020,7,27174,70,685,1612,0
Andorra,2020,8,31382,251,3073,1632,1
Andorra,2020,9,45275,874,11557,1590,0
Andorra,2020,10,103067,2706,32054,1895,22
Andorra,2020,11,174907,1989,29293,2266,1
Andorra,2020,12,230115,1304,18031,2478,8
Andorra,2021,1,279226,1888,22674,2805,17
Andorra,2021,2,293412,929,13232,2986,9
Andorra,2021,3,352375,1144,11971,3499,5
Andorra,2021,4,380633,1222,15760,3637,10
Andorra,2021,5,418754,495,7726,3935,2
Andorra,2021,6,414764,184,2422,3810,0
Andorra,2021,7,442259,767,7784,3939,1
Andorra,2021,8,462595,355,5397,3999,2
Andorra,2021,9,453489,189,1709,3900,0
Andorra,2021,10,475994,294,2906,4030,0
Andorra,2021,11,481613,1669,12121,3907,1
Andorra,2021,12,630861,6555,62392,4195,9
Andorra,2022,1,931921,12218,145847,4417,5
Andorra,2022,2,1043282,2041,37330,4169,6
Andorra,2022,3,1211183,2025,21157,4720,2
Andorra,2022,4,1219226,1325,15922,4590,0
Andorra,2022,5,584251,807,8811,2142,0
Angola,2020,2,0,0,0,0,0
Angola,2020,3,48,6,40,6,0
Angola,2020,4,601,20,412,60,0
Angola,2020,5,1637,59,1086,85,2
Angola,2020,6,4660,198,2782,210,9
Angola,2020,7,20026,864,13404,914,39
Angola,2020,8,59160,1506,34250,2627,56
Angola,2020,9,111469,2318,65302,4268,75
Angola,2020,10,233487,5833,131979,7315,101
Angola,2020,11,404417,4334,198689,9636,64
Angola,2020,12,508018,2414,209578,11689,57
Angola,2021,1,580289,2243,93408,13481,61
Angola,2021,2,569508,1011,28685,13697,42
Angola,2021,3,666295,1504,32001,16193,29
Angola,2021,4,726071,4341,40614,16851,59
Angola,2021,5,948207,7899,124728,20979,170
Angola,2021,6,1109740,4298,160328,25209,134
Angola,2021,7,1260968,3928,153393,29592,111
Angola,2021,8,1394599,4767,76276,34363,206
Angola,2021,9,1553240,9703,145400,41320,331
Angola,2021,10,1929790,7186,302264,51239,162
Angola,2021,11,1946699,735,63711,51781,23
Angola,2021,12,2114984,16425,86879,53994,37
Angola,2022,1,2871481,16523,277833,57365,125
Angola,2022,2,2758828,625,10161,53138,5
Angola,2022,3,3067639,428,4439,58900,0
Angola,2022,4,2975820,25,4350,57000,0
Angola,2022,5,1388716,0,2030,26600,0
Anguilla,2020,2,0,0,0,0,0
Anguilla,2020,3,12,0,12,0,0
Anguilla,2020,4,89,1,63,0,0
Anguilla,2020,5,93,0,0,0,0
Anguilla,2020,6,90,0,0,0,0
Anguilla,2020,7,93,0,0,0,0
Anguilla,2020,8,93,0,0,0,0
Anguilla,2020,9,90,0,0,0,0
Anguilla,2020,10,93,0,0,0,0
Anguilla,2020,11,100,3,10,0,0
Anguilla,2020,12,307,7,92,0,0
Anguilla,2021,1,467,3,34,0,0
Anguilla,2021,2,496,2,32,0,0
Anguilla,2021,3,641,7,53,0,0
Anguilla,2021,4,1197,68,464,0,0
Anguilla,2021,5,3249,16,756,0,0
Anguilla,2021,6,3270,0,0,0,0
Anguilla,2021,7,3466,4,51,0,0
Anguilla,2021,8,4525,104,537,0,0
Anguilla,2021,9,9772,192,870,10,0
Anguilla,2021,10,20735,535,2385,31,0
Anguilla,2021,11,35183,442,2982,72,2
Anguilla,2021,12,48358,288,1960,131,2
Anguilla,2022,1,63087,650,3712,203,3
Anguilla,2022,2,69136,231,615,246,1
Anguilla,2022,3,80706,145,425,279,0
Anguilla,2022,4,82007,88,311,270,0
Anguilla,2022,5,40012,196,412,126,0
Antigua And Barbuda,2020,2,0,0,0,0,0
Antigua And Barbuda,2020,3,61,6,61,0,0
Antigua And Barbuda,2020,4,619,17,429,62,2
Antigua And Barbuda,2020,5,776,2,122,93,0
Antigua And Barbuda,2020,6,1062,42,344,90,0
Antigua And Barbuda,2020,7,2364,23,721,93,0
Antigua And Barbuda,2020,8,2881,3,235,93,0
Antigua And Barbuda,2020,9,2886,7,53,90,0
Antigua And Barbuda,2020,10,3579,26,325,93,0
Antigua And Barbuda,2020,11,4045,14,197,107,1
Antigua And Barbuda,2020,12,4656,18,170,143,1
Antigua And Barbuda,2021,1,5758,75,677,175,2
Antigua And Barbuda,2021,2,12929,496,6713,280,7
Antigua And Barbuda,2021,3,30114,406,11319,772,14
Antigua And Barbuda,2021,4,36024,93,5978,911,4
Antigua And Barbuda,2021,5,38622,31,1001,1144,10
Antigua And Barbuda,2021,6,37885,3,110,1260,0
Antigua And Barbuda,2021,7,39489,40,192,1312,1
Antigua And Barbuda,2021,8,44775,412,3765,1335,1
Antigua And Barbuda,2021,9,72382,1516,22596,1647,35
Antigua And Barbuda,2021,10,118636,831,22739,2912,23
Antigua And Barbuda,2021,11,123417,79,2684,3271,15
Antigua And Barbuda,2021,12,129976,142,1177,3638,2
Antigua And Barbuda,2022,1,168983,2344,21956,3767,8
Antigua And Barbuda,2022,2,201388,810,7187,3718,8
Antigua And Barbuda,2022,3,231549,54,400,4185,0
Antigua And Barbuda,2022,4,226197,135,752,4053,1
Antigua And Barbuda,2022,5,107394,95,816,1915,1
Argentina,2020,2,0,0,0,0,0
Argentina,2020,3,7014,1053,5588,448,71
Argentina,2020,4,79310,3374,50394,9326,500
Argentina,2020,5,275556,12423,160306,30321,841
Argentina,2020,6,1091252,47679,685858,70237,2016
Argentina,2020,7,3728771,126772,1993321,178663,5077
Argentina,2020,8,9244163,226433,2710885,374809,7354
Argentina,2020,9,17545982,333266,3568054,563985,4422
Argentina,2020,10,29922509,415923,4877699,795200,10720
Argentina,2020,11,39307295,257609,4332287,1062692,7728
Argentina,2020,12,47144603,200981,4089915,1278109,4515
Argentina,2021,1,55312462,301725,5095088,1412028,4729
Argentina,2021,2,56733848,180126,4233457,1407809,3991
Argentina,2021,3,68713761,241456,4993099,1674835,3893
Argentina,2021,4,79416752,628542,7592713,1774449,8007
Argentina,2021,5,103825064,804421,9582105,2196043,14228
Argentina,2021,6,125059837,688590,9559789,2601189,16211
Argentina,2021,7,146386195,459390,8372011,3120501,11417
Argentina,2021,8,157553999,255856,7044018,3383419,6091
Argentina,2021,9,156899177,71282,2218841,3415136,3367
Argentina,2021,10,163452993,31905,583419,3584551,771
Argentina,2021,11,159264713,41941,541586,3488482,639
Argentina,2021,12,167592259,323660,1751123,3622740,580
Argentina,2022,1,219509876,2724248,22082107,3675187,4104
Argentina,2022,2,244540254,522000,6114660,3479596,4879
Argentina,2022,3,278486987,137255,2146733,3946404,1867
Argentina,2022,4,271814804,44738,1332951,3850154,621
Argentina,2022,5,127347935,18670,1002044,1801905,89
Armenia,2020,2,0,0,0,0,0
Armenia,2020,3,4138,531,3920,12,3
Armenia,2020,4,36511,1534,23868,527,29
Armenia,2020,5,151445,7216,85892,2012,99
Armenia,2020,6,520967,16260,289777,8745,312
Armenia,2020,7,1026463,13008,336043,18701,295
Armenia,2020,8,1286089,5231,201065,25394,141
Armenia,2020,9,1398359,6578,118872,27637,80
Armenia,2020,10,2012415,39454,487786,33744,382
Armenia,2020,11,3480514,45311,1032184,53074,823
Armenia,2020,12,4636215,24285,593093,78705,659
Armenia,2021,1,5076072,7617,288111,92132,257
Armenia,2021,2,4741148,5032,145729,87995,112
Armenia,2021,3,5603135,20581,314274,102663,323
Armenia,2021,4,6176164,23425,487856,114772,593
Armenia,2021,5,6831987,6606,265758,133516,330
Armenia,2021,6,6716751,2425,120472,134539,76
Armenia,2021,7,7046137,5015,140731,141368,100
Armenia,2021,8,7298355,12025,238492,146024,230
Armenia,2021,9,7541311,19562,359564,152283,475
Armenia,2021,10,8750263,46629,696943,178825,1009
Armenia,2021,11,9833856,30192,760923,211075,1239
Armenia,2021,12,10626338,6412,268289,242864,405
Armenia,2022,1,10862358,22865,271703,248462,81
Armenia,2022,2,11308526,52037,607543,230317,408
Armenia,2022,3,13079093,2687,162467,265776,152
Armenia,2022,4,12681842,348,110144,258615,9
Armenia,2022,5,5920380,29,31741,120714,1
Aruba,2020,2,0,0,0,0,0
Aruba,2020,3,346,53,333,0,0
Aruba,2020,4,2634,45,1437,31,1
Aruba,2020,5,3127,1,208,87,1
Aruba,2020,6,3034,2,4,90,0
Aruba,2020,7,3436,18,247,93,0
Aruba,2020,8,32928,1885,23175,161,7
Aruba,2020,9,94766,1957,36928,599,17
Aruba,2020,10,132575,550,10081,1033,11
Aruba,2020,11,140189,332,3646,1284,7
Aruba,2020,12,158810,644,4682,1447,4
Aruba,2021,1,195818,1477,14187,1645,10
Aruba,2021,2,208693,925,8190,1886,14
Aruba,2021,3,265688,1552,11496,2463,13
Aruba,2021,4,305143,1195,13397,2792,13
Aruba,2021,5,336068,347,2895,3223,8
Aruba,2021,6,332570,153,1047,3210,0
Aruba,2021,7,349524,592,3648,3351,3
Aruba,2021,8,412365,2846,25011,3763,36
Aruba,2021,9,454175,924,10798,4703,20
Aruba,2021,10,487079,425,5200,5260,5
Aruba,2021,11,483730,429,4865,5176,3
Aruba,2021,12,530626,4107,17854,5522,7
Aruba,2022,1,908197,12539,64882,5767,12
Aruba,2022,2,937441,684,3324,5613,18
Aruba,2022,3,1048199,245,1641,6569,1
Aruba,2022,4,1030066,917,2991,6360,0
Aruba,2022,5,491939,847,2573,2970,1
Australia,2020,2,294,10,114,0,0
Australia,2020,3,37820,4738,35262,204,20
Australia,2020,4,189092,1991,79029,1846,72
Australia,2020,5,217260,441,19200,3059,10
Australia,2020,6,221984,641,8604,3073,2
Australia,2020,7,352662,9069,77980,3911,96
Australia,2020,8,702562,8841,191460,13029,482
Australia,2020,9,799629,1332,38378,25345,242
Australia,2020,10,847970,512,6337,29108,21
Australia,2020,11,832344,314,1657,28351,1
Australia,2020,12,871550,501,1839,29330,1
Australia,2021,1,888630,406,5425,29357,0
Australia,2021,2,809029,159,300,26516,0
Australia,2021,3,903283,334,2660,29357,0
Australia,2021,4,885281,497,4197,28428,1
Australia,2021,5,928960,305,3771,29388,0
Australia,2021,6,909095,505,3607,28440,0
Australia,2021,7,988775,3519,39155,29514,14
Australia,2021,8,1280166,19721,270546,31017,83
Australia,2021,9,2385546,51272,633228,35310,301
Australia,2021,10,4346094,65335,811139,49298,474
Australia,2021,11,5736830,39781,519250,59669,289
Australia,2021,12,7984809,185265,1156671,69257,244
Australia,2022,1,47838887,2091085,15835562,90922,1603
Australia,2022,2,81002586,724489,5882979,136074,1497
Australia,2022,3,117144598,1303129,10076927,184354,871
Australia,2022,4,158848500,1414099,12635016,202292,899
Australia,2022,5,87337698,623318,4783547,104923,550
Austria,2020,2,26,8,26,0,0
Austria,2020,3,85524,10170,81962,661,138
Austria,2020,4,417261,5272,162902,12743,499
Austria,2020,5,500479,1279,31966,21125,86
Austria,2020,6,515592,1035,11890,22145,37
Austria,2020,7,600464,3364,37538,23697,13
Austria,2020,8,735971,6308,66737,24228,15
Austria,2020,9,1058863,17375,183295,24498,67
Austria,2020,10,2039236,60112,487575,29961,334
Austria,2020,11,6048662,177531,1942192,63954,2274
Austria,2020,12,10147084,78359,1067285,163192,3326
Austria,2021,1,12102376,53583,535995,237500,1648
Austria,2021,2,12191234,45098,406458,251307,918
Austria,2021,3,15518723,86733,855572,303061,859
Austria,2021,4,17593916,72641,867191,321908,952
Austria,2021,5,19700766,25945,355236,354646,434
Austria,2021,6,19456013,5597,77791,349944,102
Austria,2021,7,20262330,8644,66927,363483,35
Austria,2021,8,20808835,29249,266687,364473,35
Austria,2021,9,21491965,54790,578397,356467,252
Austria,2021,10,24130362,87886,765186,378080,377
Austria,2021,11,29624544,329014,3297852,387753,1244
Austria,2021,12,38302216,118624,1942985,449840,1364
Austria,2022,1,46164182,576959,4481753,471699,405
Austria,2022,2,64566634,824164,8669125,442066,775
Austria,2022,3,101668585,1151306,11540283,519249,1163
Austria,2022,4,120747429,309495,4908755,535743,804
Austria,2022,5,58494581,68614,955977,255340,147
Azerbaijan,2020,2,4,2,4,0,0
Azerbaijan,2020,3,1948,295,1692,38,5
Azerbaijan,2020,4,35353,1506,18863,429,19
Azerbaijan,2020,5,101560,3690,34651,1227,39
Azerbaijan,2020,6,326549,12030,142166,3939,150
Azerbaijan,2020,7,794844,14354,244015,10407,235
Azerbaijan,2020,8,1065366,4557,77831,15562,86
Azerbaijan,2020,9,1156339,3794,58014,16972,57
Azerbaijan,2020,10,1403733,15040,141322,19697,139
Azerbaijan,2020,11,2434291,65907,696251,30250,662
Azerbaijan,2020,12,5629069,97524,1672593,63398,1249
Azerbaijan,2021,1,7006474,11519,346156,91932,491
Azerbaijan,2021,2,6502320,4318,70716,89032,88
Azerbaijan,2021,3,7560926,27176,263581,103279,347
Azerbaijan,2021,4,8816077,57396,871901,121720,950
Azerbaijan,2021,5,10199768,14847,372972,147629,396
Azerbaijan,2021,6,10056668,2091,53004,148624,61
Azerbaijan,2021,7,10497023,7802,72522,154791,49
Azerbaijan,2021,8,11654596,81042,862630,162064,613
Azerbaijan,2021,9,13889792,59011,1140534,185050,889
Azerbaijan,2021,10,15602185,47468,587492,209871,549
Azerbaijan,2021,11,16873584,56948,886665,224561,782
Azerbaijan,2021,12,18797112,28629,541034,252394,502
Azerbaijan,2022,1,19511848,41523,332167,264465,376
Azerbaijan,2022,2,20748377,127200,990752,254509,683
Azerbaijan,2022,3,24506455,6262,73985,297802,275
Azerbaijan,2022,4,23769592,630,5773,291121,17
Azerbaijan,2022,5,11096606,76,900,135926,0
Bahamas,2020,2,0,0,0,0,0
Bahamas,2020,3,104,13,96,0,0
Bahamas,2020,4,1597,67,1071,238,10
Bahamas,2020,5,2932,21,1391,341,0
Bahamas,2020,6,3100,2,646,330,0
Bahamas,2020,7,6394,470,3252,347,3
Bahamas,2020,8,41496,1643,31222,809,36
Bahamas,2020,9,92733,1805,46591,2094,45
Bahamas,2020,10,170105,2692,66218,3611,49
Bahamas,2020,11,215812,827,52257,4722,19
Bahamas,2020,12,238606,330,44861,5125,7
Bahamas,2021,1,249306,352,41914,5419,6
Bahamas,2021,2,234021,328,32578,4978,4
Bahamas,2021,3,272012,568,28353,5740,8
Bahamas,2021,4,290116,1334,14199,5778,12
Bahamas,2021,5,345565,1343,26788,6885,37
Bahamas,2021,6,366247,790,23370,7362,17
Bahamas,2021,7,418744,2254,36714,8585,48
Bahamas,2021,8,513408,3495,86619,10600,104
Bahamas,2021,9,592552,2649,74178,14309,125
Bahamas,2021,10,676651,1423,41459,18795,112
Bahamas,2021,11,678125,384,14174,19934,28
Bahamas,2021,12,718404,1685,24185,21946,46
Bahamas,2022,1,928621,8086,192653,22449,29
Bahamas,2022,2,922038,573,185356,21326,25
Bahamas,2022,3,1029464,148,15998,24111,17
Bahamas,2022,4,1002021,275,10348,23672,10
Bahamas,2022,5,471986,313,7000,11180,3
Bahrain,2020,2,176,37,176,0,0
Bahrain,2020,3,8057,527,4585,41,4
Bahrain,2020,4,49480,2491,25869,190,4
Bahrain,2020,5,213574,8549,110269,347,11
Bahrain,2020,6,580007,15149,158211,1446,68
Bahrain,2020,7,1074705,14224,127259,3672,60
Bahrain,2020,8,1447593,10990,96387,5311,43
Bahrain,2020,9,1856231,18892,171456,6496,61
Bahrain,2020,10,2388821,10781,117118,8985,70
Bahrain,2020,11,2539313,5311,56601,10017,20
Bahrain,2020,12,2780573,5719,51442,10767,11
Bahrain,2021,1,3022735,10382,91764,11185,23
Bahrain,2021,2,3165005,19337,184522,11365,74
Bahrain,2021,3,4119520,22051,215274,15134,72
Bahrain,2021,4,4837969,32489,316220,17448,125
Bahrain,2021,5,6338506,63597,560131,23798,334
Bahrain,2021,6,7750838,25296,384815,36929,372
Bahrain,2021,7,8297428,3359,38336,42642,32
Bahrain,2021,8,8399912,3354,32072,42945,4
Bahrain,2021,9,8218534,2517,25657,41648,1
Bahrain,2021,10,8557002,1772,18702,43127,4
Bahrain,2021,11,8317985,861,8694,41801,1
Bahrain,2021,12,8641342,4372,26148,43214,0
Bahrain,2022,1,9759962,92513,635707,43351,14
Bahrain,2022,2,12952941,140308,1277461,40005,46
Bahrain,2022,3,16717276,39586,417566,45368,17
Bahrain,2022,4,16871027,14237,129284,44201,4
Bahrain,2022,5,8017826,8291,60396,20682,4
Bangladesh,2020,2,0,0,0,0,0
Bangladesh,2020,3,548,48,360,49,4
Bangladesh,2020,4,70283,7616,66071,2153,163
Bangladesh,2020,5,731311,39486,581278,10746,482
Bangladesh,2020,6,2836656,98330,1856115,37194,1197
Bangladesh,2020,7,6049862,92178,2816220,77720,1264
Bangladesh,2020,8,8565945,75335,3350095,114101,1170
Bangladesh,2020,9,10232791,50483,2743198,143910,970
Bangladesh,2020,10,11965030,44205,2466996,174118,672
Bangladesh,2020,11,13055589,57248,2319228,187421,721
Bangladesh,2020,12,15301442,48578,1909878,221327,915
Bangladesh,2021,1,16311378,21629,1473358,244126,568
Bangladesh,2021,2,15145689,11077,1250419,231880,281
Bangladesh,2021,3,17583288,65079,1307948,267616,638
Bangladesh,2021,4,21032790,147837,2547199,305973,2404
Bangladesh,2021,5,24211558,41408,1549237,376107,1169
Bangladesh,2021,6,25289802,112718,1660212,401202,1884
Bangladesh,2021,7,33434499,336226,4193678,542385,6182
Bangladesh,2021,8,43755097,251134,3037974,745570,5510
Bangladesh,2021,9,46037544,55293,681106,810568,1315
Bangladesh,2021,10,48497087,13628,309253,859838,358
Bangladesh,2021,11,47188376,6745,239501,837859,113
Bangladesh,2021,12,48997154,9255,230986,869056,91
Bangladesh,2022,1,51134257,213294,2063362,873409,322
Bangladesh,2022,2,53273548,144744,5050442,806596,643
Bangladesh,2022,3,60431477,8000,1833918,902188,85
Bangladesh,2022,4,58567289,1114,993822,873744,5
Bangladesh,2022,5,27339453,288,367988,407778,0
Barbados,2020,2,0,0,0,0,0
Barbados,2020,3,272,32,272,0,0
Barbados,2020,4,2084,47,1421,124,6
Barbados,2020,5,2694,11,538,217,0
Barbados,2020,6,2860,5,135,210,0
Barbados,2020,7,3209,13,153,217,0
Barbados,2020,8,4654,64,718,217,0
Barbados,2020,9,5516,16,341,210,0
Barbados,2020,10,6691,46,384,217,0
Barbados,2020,11,7561,40,272,210,0
Barbados,2020,12,9713,107,874,217,0
Barbados,2021,1,32455,1162,14473,258,7
Barbados,2021,2,63279,1523,14969,690,20
Barbados,2021,3,106483,584,8311,1258,10
Barbados,2021,4,112699,203,2064,1372,2
Barbados,2021,5,122778,162,776,1488,3
Barbados,2021,6,121317,64,844,1470,0
Barbados,2021,7,131167,309,2996,1542,1
Barbados,2021,8,142730,642,4468,1555,2
Barbados,2021,9,191291,3349,22887,1804,28
Barbados,2021,10,399010,9382,102307,3897,92
Barbados,2021,11,667086,7553,193698,6693,89
Barbados,2021,12,836693,3249,52155,8856,35
Barbados,2022,1,1110074,15865,161932,9492,20
Barbados,2022,2,1439948,10735,192108,9475,41
Barbados,2022,3,1776173,4107,36563,11404,17
Barbados,2022,4,1931497,10808,85553,11489,20
Barbados,2022,5,1026132,6181,53708,5794,39
Belarus,2020,2,2,0,0,0,0
Belarus,2020,3,1477,151,0,1,1
Belarus,2020,4,149008,13875,0,1171,88
Belarus,2020,5,888892,28529,0,4986,146
Belarus,2020,6,1626878,19562,0,9483,157
Belarus,2020,7,2029325,5690,0,14953,167
Belarus,2020,8,2159802,4035,0,19084,122
Belarus,2020,9,2246305,6788,0,22796,152
Belarus,2020,10,2702426,19851,0,28390,147
Belarus,2020,11,3481029,38165,0,31736,178
Belarus,2020,12,5144839,57637,0,40022,266
Belarus,2021,1,6908020,54052,0,48780,294
Belarus,2021,2,7520716,38970,0,51861,258
Belarus,2021,3,9451715,34501,0,65545,271
Belarus,2021,4,10229519,36931,0,71955,295
Belarus,2021,5,11683891,35701,0,83744,309
Belarus,2021,6,12206318,22750,0,90040,292
Belarus,2021,7,13396842,28851,0,102453,311
Belarus,2021,8,14349122,35492,0,112135,326
Belarus,2021,9,15302106,56554,0,118872,363
Belarus,2021,10,17669551,62082,0,136016,488
Belarus,2021,11,18886439,54550,0,146038,450
Belarus,2021,12,21056830,44392,0,165469,497
Belarus,2022,1,22254944,43843,0,180489,474
Belarus,2022,2,23454346,176783,0,175710,428
Belarus,2022,3,29270231,42971,0,206910,339
Belarus,2022,4,29183466,17638,0,206819,128
Belarus,2022,5,13748672,2522,0,97546,31
Belgium,2020,2,15,0,0,0,0
Belgium,2020,3,89096,12774,76406,1016,244
Belgium,2020,4,993613,35744,670370,96537,6425
Belgium,2020,5,1688377,9862,641449,258635,2558
Belgium,2020,6,1801706,3046,162706,285924,457
Belgium,2020,7,1973364,6579,107923,302293,108
Belgium,2020,8,2393294,17036,410764,306089,190
Belgium,2020,9,2922599,32073,595045,301033,98
Belgium,2020,10,6750053,295199,3711676,320786,824
Belgium,2020,11,15660109,164285,9051644,404491,5163
Belgium,2020,12,18982701,67643,2755329,552327,3178
Belgium,2021,1,20919902,63595,1871077,627064,1801
Belgium,2021,2,20672349,61577,1811115,606213,1106
Belgium,2021,3,25315505,107428,2457468,699201,788
Belgium,2021,4,28099526,109780,3582506,704597,1116
Belgium,2021,5,31883077,74578,2890566,762663,910
Belgium,2021,6,32271673,23350,1437407,754361,286
Belgium,2021,7,34178757,40165,842212,784356,90
Belgium,2021,8,35766608,58095,1590708,787578,137
Belgium,2021,9,36423469,60011,1826821,767564,216
Belgium,2021,10,39957843,125061,2334288,802020,424
Belgium,2021,11,45938456,381587,7345504,796196,955
Belgium,2021,12,60697072,340188,13417711,861236,1234
Belgium,2022,1,77795014,1038610,17084273,888007,716
Belgium,2022,2,95689714,426549,27171655,830791,1138
Belgium,2022,3,114138529,280846,8966619,944733,634
Belgium,2022,4,119191889,228140,8826759,935454,672
Belgium,2022,5,57348573,52595,2642460,441897,145
Belize,2020,2,0,0,0,0,0
Belize,2020,3,18,2,18,0,0
Belize,2020,4,411,15,307,46,1
Belize,2020,5,558,0,12,62,0
Belize,2020,6,630,6,74,60,0
Belize,2020,7,1197,24,456,62,0
Belize,2020,8,13765,959,12117,161,11
Belize,2020,9,45032,936,24669,570,13
Belize,2020,10,83269,1519,30773,1262,32
Belize,2020,11,140374,2281,59398,2794,89
Belize,2020,12,286380,5033,79020,6312,101
Belize,2021,1,355291,1132,15262,8649,53
Belize,2021,2,340198,385,5623,8711,13
Belize,2021,3,383797,163,2163,9792,3
Belize,2021,4,376175,212,2392,9569,6
Belize,2021,5,394656,141,2574,10017,1
Belize,2021,6,389860,442,4524,9805,5
Belize,2021,7,424629,912,10702,10288,8
Belize,2021,8,468078,2190,22855,10756,25
Belize,2021,9,548929,4448,47594,11541,52
Belize,2021,10,743700,5997,82065,14125,77
Belize,2021,11,870507,3633,53546,16226,87
Belize,2021,12,968894,2409,24416,18227,24
Belize,2022,1,1294549,18445,213040,18980,27
Belize,2022,2,1545860,5409,112847,17831,21
Belize,2022,3,1769338,586,17334,20231,4
Belize,2022,4,1721025,217,6161,20072,22
Belize,2022,5,807323,399,4152,9464,0
Benin,2020,2,0,0,0,0,0
Benin,2020,3,69,8,68,0,0
Benin,2020,4,1178,55,667,25,0
Benin,2020,5,6566,168,4026,73,2
Benin,2020,6,17757,967,10700,264,18
Benin,2020,7,45936,606,24728,874,15
Benin,2020,8,62855,340,12084,1195,4
Benin,2020,9,68013,212,10359,1201,1
Benin,2020,10,76944,286,7996,1271,0
Benin,2020,11,85621,372,7623,1284,2
